#type size quick intro
1 13900 1628 1128
1 14000 1594 1078
1 14100 2230 1512
1 14200 1811 1356
1 14300 1776 1112
1 14400 2116 1057
1 14500 1819 1196
1 14600 1990 1197
1 14700 1915 1312
1 14800 1696 1343
1 14900 2170 1122
1 15000 1941 1316
1 15100 1755 1179
1 15200 1899 1198
1 15300 1819 1167
1 15400 2088 1256
1 15500 1900 1476
1 15600 1813 1202
1 15700 2243 1178
1 15800 1998 1218
1 15900 1964 1252
1 16000 1865 1355
1 16100 1901 1235
1 16200 1958 1218
1 16300 1932 1356
1 16400 2250 1220
1 16500 1941 1482
1 16600 1945 1515
1 16700 2018 1242
1 16800 2139 1254
1 16900 2083 1382
1 17000 2191 1504
1 17100 2044 1334
1 17200 2022 1246
1 17300 2168 1341
1 17400 2047 1328
1 17500 2095 1364
1 17600 2165 1296
1 17700 2081 1578
1 17800 2056 1328
1 17900 2259 1375
1 18000 2210 1456
1 18100 2077 1567
1 18200 2049 1379
1 18300 2189 1348
1 18400 2127 1423
1 18500 2197 1409
1 18600 2211 1380
1 18700 2146 1487
1 18800 2132 1399
1 18900 2349 1416
1 19000 2195 1487
1 19100 2149 1427
1 19200 2370 1411
1 19300 2282 1493
1 19400 2207 1450
1 19500 2402 1451
1 19600 2364 1518
1 19700 2366 1483
1 19800 2286 1734
1 19900 2596 1548
1 20000 2491 1659
1 20100 2562 1607
1 20200 2361 1545
1 20300 2345 1587
1 20400 2412 1552
1 20500 2546 1579
1 20600 2516 1542
1 20700 2401 1749
1 20800 2408 1579
1 20900 2774 1625
1 21000 2511 1631
1 21100 2528 1602
1 21200 2503 1746
1 21300 2500 1657
1 21400 3425 1695
1 21500 3010 1649
1 21600 2800 1674
1 21700 2520 1684
1 21800 2559 1974
1 21900 2658 2189
1 22000 2583 2154
1 22100 2633 1986
1 22200 2596 1687
1 22300 2706 1667
1 22400 2778 1779
1 22500 2813 1770
1 22600 2721 1993
1 22700 2602 1735
1 22800 2652 1766
1 22900 2671 1737
1 23000 2730 1763
1 23100 2929 1825
1 23200 2846 1723
1 23300 2716 1776
1 23400 2724 1816
1 23500 2698 1802
1 23600 2767 1792
1 23700 2784 1819
1 23800 2863 1791
1 23900 2805 1841
1 24000 2980 1859
1 24100 2804 1890
1 24200 2833 1971
1 24300 2971 1966
1 24400 2863 2047
1 24500 2855 1861
1 24600 2821 1927
1 24700 2824 1955
1 24800 3190 2175
1 24900 3239 2030
1 25000 2929 2472
1 25100 3112 2102
1 25200 3146 2024
1 25300 3014 2274
1 25400 2988 2414
1 25500 3003 2275
1 25600 3050 2385
1 25700 3026 2092
1 25800 3006 2111
1 25900 3020 2365
1 26000 3067 2284
1 26100 3013 2151
1 26200 3044 2283
1 26300 3061 2106
1 26400 3107 2120
1 26500 3121 2046
1 26600 3112 2144
1 26700 3189 2143
1 26800 3135 2388
1 26900 3086 2064
1 27000 3176 2185
1 27100 3261 2211
1 27200 3694 2130
1 27300 3369 2279
1 27400 3311 2338
1 27500 3560 3050
1 27600 3803 3471
1 27700 3638 2364
1 27800 3392 2253
1 27900 3573 2185
1 28000 3647 2452
1 28100 3455 2334
1 28200 3296 2251
1 28300 3396 2709
1 28400 3435 2269
1 28500 3303 2277
1 28600 3386 2261
1 28700 3590 2310
1 28800 3723 2317
1 28900 3495 2342
1 29000 3758 2972
1 29100 4980 3525
1 29200 4320 2896
1 29300 3685 2414
1 29400 3530 2327
1 29500 3541 2301
1 29600 3627 2344
1 29700 3534 2445
1 29800 3469 2445
1 29900 3522 2345
1 30000 3509 2526
1 30100 3554 2470
1 30200 3591 2344
1 30300 3674 2392
1 30400 3647 2420
1 30500 3677 2364
