#type size merge hybrid_5 hybrid_10 hybrid_20 hybrid_30 hybrid_50
0 38800 26440 20470 18688 18076 17889 17804
0 38900 27345 20657 18845 17770 17704 17826
0 39000 26845 20403 18964 17992 18184 17775
0 39100 26868 20449 19168 17822 17983 17690
0 39200 28018 20982 18832 17942 17842 17921
0 39300 26850 20516 19209 18114 17956 18510
0 39400 26915 20625 18929 18466 18347 18353
0 39500 27173 21041 19040 18478 18085 18262
0 39600 27474 20625 19097 18049 18637 18007
0 39700 27202 20834 19622 18967 18548 18155
0 39800 27603 20780 19260 18164 18219 18340
0 39900 27748 20962 19265 18352 20910 18251
0 40000 27563 20877 19049 18376 18159 18483
0 40100 27887 20866 19986 18690 18466 18374
0 40200 27673 20886 19485 18293 19715 18734
0 40300 27474 21325 20693 21222 18973 18325
0 40400 27843 21019 19648 18609 18426 18360
0 40500 27664 21022 19718 19171 18597 18574
0 40600 28198 21210 19665 18778 18532 19059
0 40700 27949 21252 19503 18628 18827 18570
0 40800 30931 21455 19753 21427 19888 19183
0 40900 32015 21694 21465 18932 18782 18861
0 41000 28272 21556 19790 18810 19403 19206
0 41100 28691 21572 19841 18948 19604 18779
0 41200 29210 21542 20069 19322 19268 20890
0 41300 31516 24268 20827 21113 19386 20346
0 41400 29535 22600 21457 20686 19767 19042
0 41500 34215 24842 21643 19678 20756 19364
0 41600 29072 22737 21074 19755 20370 19562
0 41700 29258 22783 20624 19665 19440 19865
0 41800 29338 22896 20878 20067 19855 20844
0 41900 30304 22598 21398 19952 19601 19819
0 42000 29539 22751 22041 20679 20736 21089
0 42100 31191 26349 21885 19846 19253 19118
0 42200 29485 22485 20684 19881 19444 19526
0 42300 30318 22552 20943 19979 19475 19446
0 42400 29117 22508 21074 20471 19888 19776
0 42500 29230 23045 21056 20342 19424 19527
0 42600 29491 22664 21296 20295 19632 19631
0 42700 29781 22701 21159 20669 19922 19636
0 42800 29610 22981 21782 20457 19901 19916
0 42900 29370 22996 21631 20654 19636 19598
0 43000 29482 24395 21863 20840 19812 19723
0 43100 30038 24527 21608 20902 19824 19872
0 43200 29630 23193 21729 21154 20268 20275
0 43300 30073 23200 22819 20833 20114 20295
0 43400 29849 23565 22016 20838 19880 19969
0 43500 29984 23407 22369 21475 20494 20068
0 43600 30268 23371 22048 21146 19902 20364
0 43700 30205 23356 22223 20930 20098 20182
0 43800 31003 24098 22426 21008 20160 20117
0 43900 30070 23881 22438 21168 20247 20387
0 44000 30471 24095 22419 21284 20164 20749
0 44100 30816 23820 22476 25720 20252 20353
0 44200 30204 24109 22913 21521 20406 20529
0 44300 30457 24159 22795 21479 20445 20606
0 44400 30430 24011 22832 21475 20478 20573
0 44500 31123 24074 23263 21393 20575 20948
0 44600 31070 24299 22867 21439 20645 20570
0 44700 31087 24707 22940 21660 20777 20716
0 44800 30929 24301 23156 21726 20987 21194
0 44900 30870 24393 23417 21730 20621 21235
0 45000 34417 25194 23672 21657 21155 21528
0 45100 31581 25430 24062 22330 21323 21594
0 45200 33001 28882 24986 21901 20707 21134
0 45300 31793 25400 23517 22386 20952 21357
0 45400 31536 25190 24471 22614 21026 21878
0 45500 32302 25236 23740 23269 21579 21136
0 45600 32245 25866 23816 22107 21532 21284
0 45700 33320 25050 23719 21874 21788 21523
0 45800 31918 25810 23784 22967 21338 21656
0 45900 32531 26201 24339 22283 21340 21762
0 46000 32316 25331 23849 22284 21350 22576
0 46100 34035 26023 24298 22221 21988 22032
0 46200 31815 29076 24790 22339 21128 21451
0 46300 33120 26287 24911 22601 21283 21817
0 46400 32430 25455 24978 22793 21564 21682
0 46500 32048 26197 24324 22487 21663 22227
0 46600 32830 26219 24612 22865 21877 22049
0 46700 33025 26572 24101 23292 21592 22489
0 46800 32816 25869 24458 22588 22147 22443
0 46900 32811 26582 24996 22551 22335 21965
0 47000 32797 26976 24362 22626 23100 23165
0 47100 33105 27599 24915 22846 21671 22308
0 47200 32902 26985 24545 22703 21641 21985
0 47300 32958 26153 24954 22864 21772 22060
0 47400 33472 26570 24844 23185 21964 21996
0 47500 32784 26611 24659 24299 22045 22260
0 47600 32762 26823 24437 22761 22729 22732
0 47700 32869 26709 24791 22772 22091 22526
0 47800 33884 26557 24812 22828 21890 23126
0 47900 33270 26774 24751 22931 21974 22643
0 48000 33506 26746 25508 23287 22180 22462
0 48100 34598 26945 24667 22889 22127 22353
0 48200 33469 27325 24844 22971 22318 22856
0 48300 33336 27393 25119 23204 22078 22510
0 48400 33474 27485 24852 23053 22254 22732
0 48500 33906 27300 25584 23381 22472 22547
0 48600 33457 27115 25037 23623 22295 23077
0 48700 34082 27610 25402 24386 22905 22974
0 48800 33943 27361 25020 23637 22437 22849
0 48900 33910 27637 25108 23339 22806 23957
0 49000 33827 27481 25254 23327 22859 23310
0 49100 34268 27694 25888 24094 22816 23409
0 49200 34011 27930 25526 23592 22790 23154
0 49300 34494 27739 25439 23857 22677 23639
0 49400 34544 27696 26519 24289 22670 23284
0 49500 34999 27733 25500 23947 22872 23065
0 49600 34931 27884 25366 24078 22995 23404
0 49700 34490 28424 25957 23730 22931 23717
0 49800 34686 28328 25754 23925 23006 23257
0 49900 34618 28312 25660 23741 23494 23788
0 50000 36011 28401 25931 24181 23880 23990
0 50100 34937 29378 26829 24076 26378 23961
0 50200 34526 28129 25967 23950 23897 24192
0 50300 37926 38042 27110 24090 23426 24268
0 50400 35958 28403 26746 24475 23185 23517
0 50500 35336 29456 26669 23940 24099 23873
0 50600 34683 28840 26338 24365 23408 23655
0 50700 35037 28443 26013 25923 24003 24182
0 50800 35772 28677 25948 24805 23308 24073
0 50900 36121 29436 26911 25353 24443 23991
0 51000 35428 29087 26782 24429 23743 24243
0 51100 35319 28579 26238 24305 23561 23982
0 51200 36291 28720 26635 24741 23765 24257
0 51300 35664 29075 26389 24844 23714 24068
0 51400 36163 28823 26677 24823 32544 24151
0 51500 35770 29130 26239 25022 23979 24411
0 51600 35843 29278 26840 24694 24009 24478
0 51700 35903 28949 26388 25026 24306 24075
0 51800 35931 29147 26776 24736 24512 24386
0 51900 36485 29310 26549 25023 24116 23961
0 52000 36397 30314 27039 25020 24019 24774
0 52100 36395 29495 26995 25027 24172 24307
0 52200 36263 29514 26959 24971 24390 24052
0 52300 36132 29364 27626 25831 24403 24211
0 52400 36918 29890 26982 25076 24275 24210
0 52500 36710 29422 26994 25224 24417 24470
0 52600 36867 30049 27093 25364 24631 24387
0 52700 36683 29604 26967 25343 24922 24365
0 52800 37203 29747 27275 25364 24896 24624
0 52900 36971 29655 27201 25598 24572 24619
0 53000 37809 30060 27471 25578 24849 24602
0 53100 36949 29744 27219 25467 24782 25307
0 53200 37561 30565 27383 25713 24936 24831
0 53300 36761 29960 28397 25779 24885 24970
0 53400 37302 29944 27488 25578 25060 24696
0 53500 37183 30257 27536 25807 25004 24905
0 53600 37320 30439 30766 27398 24787 24938
0 53700 37374 30332 27721 25708 25306 25008
0 53800 37678 30171 28344 26320 24991 24951
0 53900 37418 30197 27813 25842 25132 24902
0 54000 37611 30206 28000 26326 25186 25213
0 54100 38083 30750 27830 25946 25254 25363
0 54200 38128 30619 27841 25931 25403 25567
0 54300 37825 30288 28006 26324 25433 25374
0 54400 38255 30768 27898 25993 25277 25812
0 54500 37997 30550 28151 26256 25586 25275
0 54600 38615 30711 28230 26089 25408 25356
0 54700 39298 30645 28235 26315 25624 25313
0 54800 38433 31166 28286 26659 25382 25612
0 54900 38780 30797 28416 26220 25559 25299
0 55000 38562 31022 28344 26815 25623 25663
0 55100 39077 31176 28301 26445 25653 25687
0 55200 38684 30777 28371 26428 25649 25713
0 55300 38825 31149 28515 26765 25462 25720
0 55400 38780 30919 28401 26643 25682 26154
0 55500 38808 31576 28653 26669 25837 25908
0 55600 38666 31056 28579 26475 26363 26239
0 55700 39228 31475 28530 26625 25906 26654
0 55800 38921 31081 29409 27224 26244 26112
0 55900 39283 30954 30142 27163 25991 25874
0 56000 39125 31498 28799 27492 26215 26066
0 56100 39651 31188 29108 27045 26234 25951
0 56200 39235 31188 29179 26914 26474 26226
0 56300 39233 31301 29238 27231 26008 26439
0 56400 39258 31752 28833 27343 26637 26369
0 56500 39288 34950 29143 27095 26261 26758
0 56600 39876 31500 29208 27093 26808 26918
0 56700 39813 31374 28934 27374 26409 26384
0 56800 39491 31974 28971 27144 26443 26387
0 56900 39943 31437 29352 27467 27016 26389
0 57000 39801 31762 29205 27442 26664 26588
0 57100 39648 31794 29292 27826 27122 30468
0 57200 39573 31606 29278 27669 27025 26647
0 57300 40135 31970 29657 27703 26825 26821
0 57400 39899 32233 29434 27861 26760 26643
0 57500 40332 32282 29511 27767 26665 26712
0 57600 40156 32063 29464 27459 26985 26983
0 57700 40743 31981 29725 28425 27287 26903
0 57800 40326 32360 29677 27646 27264 27138
0 57900 40405 32072 29688 27827 27207 26999
0 58000 40680 32054 29963 28068 27334 27891
0 58100 40635 32730 29688 28702 27045 27104
0 58200 40699 32321 30359 28368 27167 27348
0 58300 41036 32586 30349 27865 27409 27137
0 58400 41056 32925 29944 28243 27303 27306
0 58500 41356 33032 30381 27922 27281 28192
0 58600 41941 32456 30306 28141 27405 27730
0 58700 41081 32588 30236 28117 28058 27548
0 58800 41295 32737 30012 28217 27493 27859
0 58900 41088 34175 31220 28507 27686 27869
0 59000 41177 33071 30165 28312 27381 27970
0 59100 41363 33751 30483 28350 27993 27516
0 59200 41477 32813 30413 28384 27719 27938
0 59300 42201 33411 30382 28389 27948 28049
0 59400 41764 33662 30484 31388 31480 27995
0 59500 41782 33059 30377 28568 27882 28295
0 59600 41689 33062 30697 28754 28003 27881
0 59700 42755 33190 30515 29042 29800 27984
0 59800 42094 33687 31099 30302 28047 28082
0 59900 42050 33278 31115 29376 27939 28203
0 60000 42231 34131 31074 28830 28278 28323
0 60100 42916 33503 30975 29257 28356 28493
0 60200 42773 33940 30952 28961 28507 28603
0 60300 42453 33715 31161 28914 28919 28135
0 60400 42245 33720 31111 29431 28521 28298
0 60500 43276 33630 31188 28902 28323 28647
0 60600 42571 33982 30966 29250 28330 28590
0 60700 42906 33922 30959 29218 28608 28406
0 60800 43022 34187 31380 29497 28618 29029
0 60900 42794 33802 31137 29335 29110 28717
0 61000 43653 35251 31917 31419 28491 29250
0 61100 43638 34556 31555 30042 34139 30376
